year,frequency
1990,0
1991,2
1992,2
1993,2
1994,1
1995,1
1996,1
1997,0
1998,1
1999,1
2000,0
2001,0
2002,0
2003,1
2004,2
2005,3
2006,0
2007,2
2008,0
2009,3
2010,3
2011,0
2012,2
2013,1
2014,1
2015,2
2016,0
2017,0
2018,2
2019,2
2020,0
